FID,objectid,cod_origem,nome_orige,nivel_orig,classe_ori,multipolar,cod_destin,nome_desti,nivel_dest,classe_des,cod_1a,nome_1a,cod_1b,mome_1b,cod_1c,nome_1c,cod_2a,nome_2a,cod_2b,nome_2b,cod_2c,nome_2c,cod_3a,nome_3a,cod_3b,nome_3b,cod_4a,nome_4a,cod_4b,nome_4b,cod_s1,nome_s1,nivel_s1,cod_s2,nome_s2,nivel_s2,cod_s3,nome_s3,nivel_s3,cod_s4,nome_s4,nivel_s4,cod_s5,nome_s5,nivel_s5,cod_s6,nome_s6,nivel_s6,the_geom
RedeUrbanaSintese_Regic2007.1,1,291250,Ibipitanga,5,Centro Local,sim,290410,Boquira,4b,Centro de Zona B,,,0,,292740,ACP de Salvador,0,,293330,Vitória da Conquista,0,,291170,Guanambi,290390,Bom Jesus da Lapa,291980,Macaúbas,290410,Boquira,292740,ACP de Salvador,1c,293330,Vitória da Conquista,2b,291170,Guanambi,3a,290390,Bom Jesus da Lapa,3b,291980,Macaúbas,4a,290410,Boquira,4b,"MULTILINESTRING ((-42.48639274987177 -12.88243982054763, -42.731394714006285 -12.823439070038607))"
RedeUrbanaSintese_Regic2007.2,2,170330,Bom Jesus do Tocantins,5,Centro Local,não,171650,Pedro Afonso,4b,Centro de Zona B,,,0,,520870,ACP de Goiânia,0,,172100,Palmas,170210,Araguaína,0,,0,,170930,Guaraí,171650,Pedro Afonso,520870,ACP de Goiânia,1c,172100,Palmas,2b,170210,Araguaína,2c,170930,Guaraí,4a,171650,Pedro Afonso,4b,,,,"MULTILINESTRING ((-48.166432788938465 -8.965407055313273, -48.17543286028712 -8.968407063651057))"
RedeUrbanaSintese_Regic2007.3,3,110050,Novo Horizonte do Oeste,5,Centro Local,não,110028,Rolim de Moura,4a,Centro de Zona A,,,0,,,,0,,110020,Porto Velho,0,,110012,Ji-Paraná,110004,Cacoal,110028,Rolim de Moura,0,,110020,Porto Velho,2b,110012,Ji-Paraná,3a,110004,Cacoal,3b,110028,Rolim de Moura,4a,,,,,,,"MULTILINESTRING ((-62.000528765018714 -11.710400480854805, -61.7785275594901 -11.733400982150977))"
RedeUrbanaSintese_Regic2007.4,4,171890,Santa Rosa do Tocantins,5,Centro Local,não,171820,Porto Nacional,4a,Centro de Zona A,,,0,,520870,ACP de Goiânia,0,,172100,Palmas,0,,0,,0,,171820,Porto Nacional,0,,520870,ACP de Goiânia,1c,172100,Palmas,2b,171820,Porto Nacional,4a,0,,,,,,,,,"MULTILINESTRING ((-48.121435814208226 -11.449422411174366, -48.4174369734268 -10.708417515467213))"
RedeUrbanaSintese_Regic2007.5,5,210177,Bela Vista do Maranhão,5,Centro Local,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-45.31540650026945 -3.731373698573084, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.6,6,210207,Bom Lugar,5,Centro Local,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-45.03940456026605 -4.220377402272569, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.7,7,210215,Brejo de Areia,5,Centro Local,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-45.581408891852156 -4.334377940047652, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.8,8,210355,Conceição do Lago-Açu,5,Centro Local,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-44.89340321369217 -3.834374650955688, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.9,9,210570,Lago da Pedra,4b,Centro de Zona B,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-45.13240548501077 -4.570379891718226, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.10,10,210590,Lago Verde,5,Centro Local,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-44.822402709326155 -3.9573755881403554, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.11,11,210740,Olho d'Água das Cunhãs,5,Centro Local,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-45.12040515924304 -4.139376770729778, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.12,12,210870,Pio XII,4b,Centro de Zona B,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-45.17040543360205 -3.8943749580512272, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.13,13,211140,São Luís Gonzaga do Maranhão,5,Centro Local,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-44.67040171582187 -4.3803787649493255, -44.78040250895714 -4.225377573455582))"
RedeUrbanaSintese_Regic2007.14,14,110090,Castanheiras,5,Centro Local,não,110028,Rolim de Moura,4a,Centro de Zona A,,,0,,,,0,,110020,Porto Velho,0,,110012,Ji-Paraná,110004,Cacoal,110028,Rolim de Moura,0,,110020,Porto Velho,2b,110012,Ji-Paraná,3a,110004,Cacoal,3b,110028,Rolim de Moura,4a,,,,,,,"MULTILINESTRING ((-61.95052795403306 -11.427399436795044, -61.7785275594901 -11.733400982150977))"
RedeUrbanaSintese_Regic2007.15,15,211300,Vitorino Freire,4b,Centro de Zona B,não,210120,Bacabal,3a,Centro Subregional A,,,0,,230440,ACP de Fortaleza,211130,ACP de São Luís,0,,0,,210120,Bacabal,0,,0,,0,,230440,ACP de Fortaleza,1c,211130,ACP de São Luís,2a,210120,Bacabal,3a,0,,,,,,,,,"MULTILINESTRING ((-45.25140626808757 -4.282377741454974, -44.78040250895714 -4.225377573455582))"
